trip_count ,duration_sum        ,duration_avg        ,dim_year,dim_month,dim_hour,dim_user                                          
      15998,            29751217,                1859,    2021,        6,      18,Casual Member                                     
       1006,              893890,                 888,    2019,        9,       2,Annual Member                                     
       2336,             3157361,                1351,    2019,        9,      22,Casual Member                                     
       1758,             4037577,                2296,    2019,        9,      23,Casual Member                                     
       5327,             4033421,                 757,    2022,        7,       0,Annual Member                                     
       2470,             1757679,                 711,    2022,        7,       2,Annual Member                                     
      12473,             8596249,                 689,    2022,        8,      11,Annual Member                                     
      15177,            10601685,                 698,    2022,        8,      13,Annual Member                                     
       1033,             1308289,                1266,    2022,        9,       4,Casual Member                                     
      15435,            10713602,                 694,    2022,        9,       8,Annual Member                                     
      10924,             7420611,                 679,    2022,        9,       9,Annual Member                                     
       8658,             5826618,                 672,    2022,        9,      10,Annual Member                                     
       6415,            13930267,                2171,    2020,        6,      11,Casual Member                                     
      10255,            19561595,                1907,    2020,        7,      22,Casual Member                                     
       1321,             1453302,                1100,    2022,        1,      13,Casual Member                                     
       1508,             1974951,                1309,    2022,        1,      15,Casual Member                                     
        822,              698117,                 849,    2022,        2,      10,Casual Member                                     
       2678,             2662319,                 994,    2022,        3,      20,Casual Member                                     
       2090,             2138598,                1023,    2022,        3,      21,Casual Member                                     
       1614,             2014946,                1248,    2022,        3,      22,Casual Member                                     
         21,               20224,                 963,    2019,        1,       7,Casual Member                                     
       2565,             1442329,                 562,    2019,        1,      11,Annual Member                                     
       2865,             1764302,                 615,    2019,        1,      13,Annual Member                                     
         70,               66138,                 944,    2019,        1,       8,Casual Member                                     
       4008,             3021449,                 753,    2019,        2,       8,Annual Member                                     
        122,              224873,                1843,    2019,        2,      18,Casual Member                                     
        769,              441518,                 574,    2019,        2,      22,Annual Member                                     
        527,              777950,                1476,    2019,        2,      23,Annual Member                                     
